campaign;DRN;site;running_id;date;stream_type;avg_depth_macroinvertebrates;avg_velocity_macroinvertebrates;Max_wetted_width_m;Min_wetted_width_m;Average_wetted_width_m;Bankfull_at_max__wetted_width_m;Bankfull_at_min__wetted_width_m;Embeddedness;bedrock;boulders;cobbles;gravel;sand;silt;particle_size;state_of_flow;if_IP_number_and_size_2_axes_+_depth_of_the_pools;Maximum_depth_cm;temperature_C;ph;conductivity_micros_cm;oxygen_mg_l;oxygen_sat;discharge_l_s;filamentous_algae;incrusted_algae;macrophyte_cover;leaf_litter_cover;moss_cover;wood_cover;reach_length_m;Latitude;Longitude;altitude_m;basin_area_km2;calcareous_geology_upstream;siliceous_geology_upstream;sedimentary_geology_upstream;slope;riparian_cover_in_the_riparian_area;native_riparian_species_richness;invasive_riparian_species_richness;left_river_bank_slope;right_river_bank_slope;shade;hydromorphological_alteration;volume_biofilm;m2_biofilm
5;Czech;VEL06;VEL06_5;11.10.2021;TR;5;0;0.4;0.4;0.4;;;;0;0;0;0;0;100;1;IP;Pool1 (70x0,4 + 0,05)m;12;;;;;;0;0;0;0;100;0;0;54;48.9339;17.4122;190;11.46064161;1;0;1;0.003232759;90;7;1;25;25;100;4;120;0.0252
5;Czech;VEL07;VEL07_5;11.10.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;;;;;;;0;0;0;0;0;0;0;52;48.8811;17.4797;244;6.591928929;1;0;1;0.007537688;80;6;1;30;45;90;3;120;0.0395
5;Czech;VEL08;VEL08_5;11.10.2021;PR;8.8;0.20896;4.1;0.9;2.2;11;5.5;0;0;0;80;20;0;0;3.8;F;;15;10.8;8.24;489;10.56;98.5;10.3;0;0;0;0;0;0;63;48.8453;17.5566;378;10.29379507;1;0;1;0.023809524;80;8;0;15;45;95;1;120;0.0482
5;Czech;VEL09;VEL09_5;11.10.2021;PR;7;0.0348;3;0.5;1.6;6.7;7.2;0;10;0;40;40;10;0;3.6;F;;11;9.3;8.31;418;10.43;95;1.4;0;0;0;0;0;0;65;48.8766;17.6372;466;5.556452724;1;0;1;0.027777778;80;7;0;35;30;95;1;120;0.0495
5;Czech;VEL10;VEL10_5;11.10.2021;PR;11.2;0.1654;8.5;3.5;6;15;10;0;0;20;60;20;0;0;4;F;;16;10.4;8.39;531;10.52;97;38.1;0;0;0;8;2;0;86;48.8672;17.5429;323;47.81743656;1;0;1;0.018939394;70;8;0;50;30;85;1;120;0.02785
5;Czech;VEL11;VEL11_5;12.10.2021;PR;10;0.0119;2.5;0.15;0.35;15;8;0;0;50;40;10;0;0;4.4;F;;70;8.2;8.18;685;8.77;77.6;38.1;0;0;0;70;0;0;55;48.8954;17.5759;394;9.708518659;1;0;1;0.036585366;90;8;1;20;10;80;1;120;0.02395
5;Czech;VEL12;VEL12_5;12.10.2021;TR;8.9;0.001;4;0.15;0.3;11.1;5;0;0;30;50;10;0;10;3.9;F;;70;8.4;7.88;622;5.76;51.5;38.1;0;0;0;80;0;0;80;48.8999;17.5904;425;5.362363522;1;0;1;0.019047619;60;7;0;35;20;85;1;120;0.0482
5;Czech;VEL13;VEL13_5;12.10.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;70;48.8823;17.5967;401;0.9241509;1;0;1;0.051194539;80;7;0;10;10;100;1;120;0.0338
5;Czech;VEL14;VEL14_5;11.10.2021;TR;7.9;0.0025;1;0.05;3;6.8;4.8;0;0;0;20;40;10;30;2.5;F;;20;14.4;8.16;549;8.36;84.3;0.6;0;0;0;50;0;0;52;48.8736;17.5542;343;1.339301084;1;0;1;0.051282051;80;9;0;35;35;95;1;120;0.0428
5;Czech;VEL15;VEL15_5;11.10.2021;PR;8.2;0.0199;2.8;0.3;1;10.5;6.5;0;0;10;70;20;0;0;3.9;F;;15;9.9;8.07;481;9.07;83;0.1;0;0;0;70;0;0;62;48.8721;17.5647;352;2.798664521;1;0;1;0.047169811;95;6;0;70;35;90;1;120;0.03495
