Sites;Date_Beg;Date_End;Country;Campaign;ConD;FreDr;mean_DrurD
GEN17;20.9.2021;20.10.2021;Spain;5;1;1;1
GEN18;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN19;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN20;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN21;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN22;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN23;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN24;20.9.2021;20.10.2021;Spain;5;0;0;0
GEN25;20.9.2021;20.10.2021;Spain;5;31;1;0
GEN26;20.9.2021;20.10.2021;Spain;5;30;1;15
GEN01;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN02;7.1.2022;6.2.2022;Spain;6;11;2;5.5
GEN03;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN04;7.1.2022;6.2.2022;Spain;6;3;1;3
GEN05;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN06;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN07;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN08;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN09;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN10;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN11;7.1.2022;6.2.2022;Spain;6;1;1;1
GEN12;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN13;7.1.2022;6.2.2022;Spain;6;1;1;1
GEN14;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN15;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN16;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN17;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN18;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN19;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN20;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN21;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN22;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN23;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN24;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN25;7.1.2022;6.2.2022;Spain;6;0;0;0
GEN26;7.1.2022;6.2.2022;Spain;6;0;0;0
